lexeme,stem,class
"sa/""hu/+hu/""",sahuhu,Cai
"sa""hi/+hi""",sahihi,ai
"sa/hi""bi/+",sahibi,ai
"sa""ha/+ni""",sahani,ai
"sa""ha/+bi/+",sahabi,ai
sadauki/,sadauki,ai
"sabga""",sabga,oCi
"sabba""",sabba,oCi
"sabarba'de""",sabarbade,Cai
"sabalba'de""",sabalbade,Cai
"sa/'a""",saa,oi
"ru""wa/+ya""",ruwaya,a-u
"r+u/she/she""",rusheshe,RED-comp
"runtume/me""",runtumeme,RED-comp
"r+u""mfa/+",rumfa,RED
"rum'buke""",rumbuke,Cai
"r+u""mbu/+",rumbu,una
"ruku""ni+",rukuni,ai
"ru/hu""",ruhu,oCi
"r+u""gu""zunzu""mi+",ruguzunzumi,RED-comp
"ru/ba""",ruba,oCi
"rizma""",rizma,oCi
"ri""ya/+li""",riyali,ai
"ri""ya>l",riyal,Cai
"ringime/me""",ringimeme,RED-comp
"ri""ngi+mba""",ringimba,RED-comp
rin'dimi/,rindimi,RED-comp
"rin'dime/me""",rindimeme,RED-comp
r+i/mi/,rimi,aye
"r+ib'de/'de""",ribdede,RED-comp
"ri/ba""",riba,oCi
r+e/ma/,rema,aye
"r+e/he""",rehe,u
"r+a""r+r+a+una/+",rarrauna,a-a
"r+a""r+r+a+mna/+",rarramna,a-a
"r+a/""r+i/+ta""",rarita,Cai
"r+ank'ame/me/""",rankameme,RED-comp
"rango""",rango,una
r+angami/,rangami,RED-comp
"r+a""nda/+",randa,una
"ra""mbe/+",rambe,Ca
"ram'bashe/she""",rambasheshe,RED-comp
"rak'a""yi/+",rakayi,a-u
"r+a""ho/ni""ya/+",rahoniya,oCi
"r+a""go/+wa""",ragowa,RED-e
"r+a/""go/+",rago,una
"r+aga""ma/+",ragama,oCi
"ra/fa/""ni/+",rafani,ai
"r+a""bo/+",rabo,Cai
"o/da""le""",odale,oCi
"nu""su+ha""",nusuha,oCi
numfa/shi/,numfashi,RED
"nink'ire/re/""",ninkirere,RED-comp
"na""nna+uya/+",nannauya,a-a
"na/hiya""",nahiya,oCi
"na""hi/+shi""",nahishi,ai
"nagge""",nagge,a-e
"naga""r+i/+",nagari,a-u
na-far+ko/,na-farko,RED
"na-fa/r+i""",na-fari,RED
"na""fa+'a/""",nafaa,RED
"na/di""ri/+",nadiri,ai
"mu""zu/+r+u/+",muzuru,Cai
muzur+a/r+i/,muzurari,ai
"mu""zakka""ri/+",muzakkari,ai
"mu""tu+r+u/+",muturu,Cai
"mu""tu>m",mutum,aCe
mutsuli/,mutsuli,RED-comp
"mu""su""lmi/+",musulmi,RED
"mu""sta""ha+bbi""",mustahabbi,ai
"mu""shiri""ki/+",mushiriki,ai
"mu""r+za+jje/+",murzajje,u
"mur+ya""",murya,oCi
mur+ufi/,murufi,ai
"mur+u/""'di/+",murudi,u-a
"muru""bu/""ci/+",murubuci,u-a
"muru/""ba""ci/+",murubaci,a-a
"mur+k'ushe/she""",murkusheshe,RED-comp
"mur+hu""",murhu,RED
mur+fi/,murfi,ai
"mu""rda/+shi/+",murdashi,ai
"mu""ra/fi""k'i/+",murafiki,ai
"mu""rabba""'i/+",murabbai,ai
"mungule/le/""",mungulele,RED-comp
"mu""na/fu""ki/+",munafuki,ai
"mu""mmu/+na/+",mummuna,a-a
"mu/mi""ni/+",mumini,ai
"mulk'e/k'e""",mulkeke,RED-comp
"mu""li+ddi""",muliddi,ai
"mu""k'u+r+u/+",mukuru,u-a
mukulli/,mukulli,ai
"mu/k'e/k'e""",mukeke,RED-comp
"mu""k'a/""r+u/+",mukaru,Cai
"muk'a/""mu""k'i/+",mukamuki,RED
"mu""k'a+dda""s",mukaddas,Cai
"mu/ji""ya/+",mujiya,oCi
"muhu""ku""nci/+",muhukunci,RED
muhuji/,muhuji,ai
muhu/ci/,muhuci,ai
"mu""hi+mmi""",muhimmi,ai
"mugu""tsu""r+i/+",mugutsuri,RED
mugur+ji/,mugurji,ai
"mu""gu""nta/+",mugunta,RED-e
"mugu""da""nci/+",mugudanci,RED
"mu""du""k'u/+k'i""",mudukuki,ai
"mu""dabba""ri/+",mudabbari,ai
"mubu""gi/+",mubugi,u-a
"mu""bazza""ri/+",mubazzari,ai
mu/ba+rra>s,mubarras,Cai
"mo/ta""",mota,oCi
mo/lo/,molo,aye
"mi/za/ni""",mizani,ai
mi/tsi/tsi/,mitsitsi,RED-comp
mitsili/,mitsili,RED-comp
mitsil,mitsil,RED-id
"mi""ski/+ni""",miskini,ai
"miski""li/+",miskili,ai
mi/ni/ni/,minini,RED-comp
mi/li/li/,milili,RED-comp
"mi/""li/+",mili,RED-id
"mi/ki""",miki,a-u
mijina/,mijina,RED
migir+bi/,migirbi,ai
"me/sa""",mesa,RED
mazur+a/r+i/,mazurari,ai
"mazi""na/""ci/+",mazinaci,a-a
mazar+i/,mazari,RED
"maza""mba""ci/+",mazambaci,a-a
"mayu""nwa""ci/+",mayunwaci,a-a
"maya/""wi/+",mayawi,awa
"maya/""wa""ci/+",mayawaci,a-a
"maya""uda""ri/+",mayaudari,a-a
"ma""ya+u",mayau,a-a
"maya""nki/+",mayanki,Ca
maya/ni/,mayani,ai
"mayalwa""ci/+",mayalwaci,a-a
"maya/""k'i/+",mayaki,a-a
maya/fi/,mayafi,ai
"mawu""ya/""ci/+",mawuyaci,a-a
"mawo/""fi""nci/+",mawofinci,Ca
"mawa""nki/+",mawanki,Ca
"mawa/""k'i/+",mawaki,a-a
"mawa""da/""ci/+",mawadaci,a-a
"matu""tu""rci/+",matuturci,u-a
"matu""kk'i/+",matukki,u-a
"matu/""ki/+",matuki,uka
"matu""fki/+",matufki,u-a
"matso/""r+a""ci/+",matsoraci,a-a
matso/ni/,matsoni,ai
matsokaci/,matsokaci,RED
ma/+tso/+,matso,RED
"matsi""ya/""ci/+",matsiyaci,a-a
"matse/""gu""nci/+",matsegunci,u-a
"matsa""r+ka""ki/+",matsarkaki,a-a
"matsa""r+i/+",matsari,a-a
"matsa""na""nci/+",matsananci,Ca
"ma""tsa+la""",matsala,oCi
"matsa""ka""ici/+",matsakaici,Ca
"matsa/""fi/+",matsafi,a-a
"matsa""bta""ci/+",matsabtaci,a-a
"mato/""yi/+",matoyi,Ca
mato/ya/,matoya,Cai
mato/shi/,matoshi,ai
mato/ni/,matoni,ai
mato/kar+i/,matokari,ai
"ma/tinja""",matinja,oCi
"mata""yi/+",matayi,a-a
mataushi/,mataushi,ai
matauni/,matauni,ai
mata/shi/,matashi,ai
mata/r+i/,matari,ai
"mata""nyi/+",matanyi,Ca
matanki/,matanki,Ca
"mata""mba""yi/+",matambayi,a-a
"mata""la""uci/+",matalauci,u-a
mata/ki/,mataki,ai
"mata""ima""ki/+",mataimaki,a-a
"mata""fi""yi/+",matafiyi,Ca
"mata""fi/""fi/""ci/+",matafifici,Ca
"matabba""ci/+",matabbaci,a-a
"masussuki""ya/+",masussukiya,RED
masussuka/,masussuka,RED
"masu""nci/+",masunci,u-a
"masu""fu""rci/+",masufurci,RED
"masu""'di/+",masudi,u-a
maso/mi/,masomi,ai
masko/,masko,a-e
"ma""ski/+ni""",maskini,ai
"masi""hi""rci/+",masihirci,Ca
"mashi""r+i/""r+i/""ci/+",mashiririci,Ca
mashimfi'di/,mashimfidi,ai
mashigi/,mashigi,ai
mashi/'di/,mashidi,ai
"masha/""yi/+",mashayi,a-a
masha/ya/,mashaya,RED
"ma""sha+ssha+ra/+",mashasshara,a-u
masha/r+i/,mashari,ai
"ma""shalla""ki/+",mashallaki,ai
"ma""sha""ku/+lu""",mashakulu,Cai
"masha""iji/+",mashaiji,Ca
"masha""idi/+",mashaidi,Ca
"ma""sha""hu/+ri""",mashahuri,ai
"ma""sha""gu/+li""",mashaguli,ai
masha/ci/,mashaci,ai
"masa""yi/+",masayi,a-a
"masa/""wa/""ni/+",masawani,a-a
masauki/,masauki,ai
"masa""ssa""uci/+",masassauci,u-a
masassar+a,masassara,a-u
"masa""ssa""k'i/+",masassaki,a-a
"masa""rci/+",masarci,Ca
"masa""r+a""uci/+",masarauci,RED
"masa""ni/+",masani,a-a
masalla/ci/,masallaci,RED
"masa""fa""rci/+",masafarci,Ca
"masa""bu/""bu/""ci/+",masabubuci,u-a
"masa""ba""cci/+",masabacci,Ca
mar+u/r+i/,maruri,ai
mar+u/fi/,marufi,ai
"mar+u/""'di/+",marudi,u-a
"maru""bu/""ci/+",marubuci,u-a
"maru/""ba""ci/+",marubaci,a-a
"ma/""r+u+",maru,a-a
"mar+o/""wa""ci/+",marowaci,a-a
"mar+o/""k'i/+",maroki,Ca
"ma/""r+i/+r+i""",mariri,ai
"mar+i""ni/+",marini,Ca
mar+ina/,marina,Cai
"ma""ri/+li""",marili,ai
"mar+i""ki""ci/+",marikici,Ca
mar+e/gi/,maregi,ai
"ma""r+a/+ya""",maraya,a-u
"mar+a/""ta""yi/+",maratayi,RED
mar+ar+r+aba/,mararraba,Cai
"mar+a""ki/+",maraki,a-a
"mar+a""ini/+",maraini,Ca
"mar+a""'di/+",maradi,a-a
"mara""bka""ni/+",marabkani,RED
"ma""nzo/+",manzo,anni
"mano/""mi/+",manomi,Ca
"mani/""sa""nci/+",manisanci,Ca
manga/,manga,aye
"mane/""mi/+",manemi,Ca
"managa""rci/+",managarci,Ca
mana'di/,manadi,ai
"mamo/""ri/+",mamori,Ca
"ma""mma+sk'a/+",mammaska,a-a
"mama/""yi/+",mamayi,a-a
"mama""ya/""ci/+",mamayaci,a-a
ma/mar+i/,mamari,u-a
"ma/""ma""r+e/+",mamare,RED-e
"mama""ci/+",mamaci,a-a
"ma""la+lla""s",malallas,Cai
"mala/""la/""ci/+",malalaci,a-a
"ma""la/+'i+ka""",malaika,u
"malaha""",malaha,oCi
"mak'yu""ya""ci/+",makyuyaci,a-a
"ma""kwa+yo""",makwayo,Cai
"mak'wa""uci/+",makwauci,u-a
makwashi/,makwashi,RED
"makwa""rma""ci/+",makwarmaci,a-a
makwanci/,makwanci,RED
"makwa""'da""ici/+",makwadaici,Ca
"mak'wa""bci/+",makwabci,Ca
"maku""sa""nci/+",makusanci,Ca
"maku""nya""ci/+",makunyaci,a-a
"maku""nci/+",makunci,u-a
"makulli""ya/+",makulliya,u-a
ma-kulli/,ma-kulli,ai
maku/li/,makuli,ai
"makubli""ya/+",makubliya,u-a
makubli/,makubli,ai
"mako/""yi/+",makoyi,Ca
"mak'i""yi/+",makiyi,Ca
"maki""ya/""yi/+",makiyayi,RED
"mak'i/""wa""ci/+",makiwaci,RED
"makitsi""ya/+",makitsiya,RED
"mak'i""shi""r+wa""nci/+",makishirwanci,Ca
"ma/ki""ri/+",makiri,ai
"ma""ki/+da""",makida,oCi
"mak'e/""ta""ci/+",maketaci,a-a
"mak'e/""r+i/+",makeri,Ca
mak'e/r+a/,makera,RED
"mak'a/""ya""nci/+",makayanci,Ca
"ma""kassa""ri/+",makassari,ai
makashi/,makashi,RED
"mak'a""r+ya""ci/+",makaryaci,a-a
"mak'a/""r+a""yi/+",makarayi,a-a
"mak'a/""r+a""ci/+",makaraci,a-a
"ma""ka+nka+r+i/+",makankari,ai
"mak'a""nk'a""nci/+",makankanci,Ca
"makanga""r+i/+",makangari,RED
maka/mi/,makami,ai
makamfaci/,makamfaci,RED
"maka""ma""nci/+",makamanci,RED
"maka""lka""li/+",makalkali,RED
"maka""'di/+",makadi,a-a
"maji""yya""ci/+",majiyyaci,a-a
"maji""yi/+",majiyi,Ca
majir+a/ci/,majiraci,RED
"maji""nya""ci/+",majinyaci,a-a
majingini/,majingini,RED
maji/'di/,majidi,ai
"maji""",maji,Ca
"maje/""mi/+",majemi,Ca
