lexeme,stem,class
atracar,atrac,ar-regular
atrancar,atranc,ar-regular
atrapar,atrap,ar-regular
atrasar,atras,ar-regular
atravesar,atrabes,ar-ie
atribular,atribul,ar-regular
atrincherar,atrinCer,ar-regular
atronar,atron,ar-ue
atropellar,atropeL,ar-regular
augurar,augur,ar-regular
aumentar,aument,ar-regular
aunar,aun,ar-regular
auspiciar,auspizi,ar-regular
autenticar,autentic,ar-regular
automatizar,automatiz,ar-regular
autorizar,autoriz,ar-regular
auxiliar,auxili,ar-regular
avalar,abal,ar-regular
avaluar,abalu,ar-regular
avanzar,abanz,ar-regular
avasallar,abasaL,ar-regular
avellanar,abeLan,ar-regular
aventajar,abentaj,ar-regular
aventar,abent,ar-ie
aventurar,abentur,ar-regular
avergonzar,abergonz,ar-ue
averiar,aberi,ar-regular
averiguar,aberigu,ar-regular
avezar,abez,ar-regular
aviar,abi,ar-regular
avisar,abis,ar-regular
avispar,abisp,ar-regular
avistar,abist,ar-regular
avivar,abib,ar-regular
avizorar,abizor,ar-regular
ayudar,aLud,ar-regular
ayunar,aLun,ar-regular
azorar,azor,ar-regular
azotar,azot,ar-regular
azucarar,azucar,ar-regular
azular,azul,ar-regular
azuzar,azuz,ar-regular
babear,babe,ar-regular
bailar,bail,ar-regular
bajar,baj,ar-regular
balancear,balanze,ar-regular
balar,bal,ar-regular
baldar,bald,ar-regular
balear,bale,ar-regular
bancar,banc,ar-regular
barajar,baraj,ar-regular
barbar,barb,ar-regular
bardar,bard,ar-regular
basar,bas,ar-regular
bastar,bast,ar-regular
basurear,basure,ar-regular
batallar,bataL,ar-regular
batear,bate,ar-regular
bautizar,bautiz,ar-regular
beneficiar,benefizi,ar-regular
besar,bes,ar-regular
bizcar,bizc,ar-regular
blanquear,blance,ar-regular
blindar,blind,ar-regular
bloquear,bloce,ar-regular
bochar,boC,ar-regular
bogar,bog,ar-regular
boicotear,boicote,ar-regular
bolear,bole,ar-regular
bombardear,bombarde,ar-regular
bombear,bombe,ar-regular
boquear,boce,ar-regular
bordar,bord,ar-regular
bordear,borde,ar-regular
borrar,boR,ar-regular
bosquejar,boscej,ar-regular
botar,bot,ar-regular
boxear,boxe,ar-regular
boyar,boL,ar-regular
bregar,breg,ar-regular
brillar,briL,ar-regular
brincar,brinc,ar-regular
brindar,brind,ar-regular
bromear,brome,ar-regular
broncear,bronze,ar-regular
brotar,brot,ar-regular
bucear,buze,ar-regular
bufar,buf,ar-regular
burlar,burl,ar-regular
buscar,busc,ar-regular
