stem,lexeme,class
njedovjes,нйедовйес,ok
njemjets,нйемйетс,chik-ik
njiz,нйиз,ok
nolj,нолй,ik
nomjer,номйер,ok
nos,нос,ik-ok
novjik,новйик,ok
novosjol,новосйол,ok
nozh,нож,ik
nozhik,ножик,ok
nulj,нулй,ik
oblom,облом,ok
obnos,обнос,ok
obod,обод,ok
obraz,образ,ok
obrazjets,образйетс,ik
obriv,обрив,chik-ok
obrjez,обрйез,ok
obrub,обруб,ok
obruchj,обручй,ok
obsjev,обсйев,ok
obux,обух,ok
ochjag,очяг,ok
ochjos,очйос,ok
ofjitser,офйитсер,ik
ogorod,огород,ik
ogurjets,огурйетс,chik-ik
okop,окоп,chik
okorok,окорок,ok
oljein,олйеин,ik
oljenj,олйенй,ik
omut,омут,ok
opor,опор,ok
opt,опт,ik
organ,орган,chik-ik
orjex,орйех,ok
orjol,орйол,ik
orkjestr,оркйестр,ik
ort,орт,ik
osjol,осйол,ik-ok
osobnjak,особняк,ok
ost,ост,ik-ok
ostrog,острог,ok
ostrov,остров,ok
otbros,отброс,ok
otjelj,отйелй,chik
otljiv,отлйив,ok
otriv,отрив,ok
otrjad,отряд,ik
otrjez,отрйез,ok
otrub,отруб,ok
otsjev,отсйев,ok
otvod,отвод,ok
otzhim,отжим,ok
ovod,овод,ok
pak,пак,ok
pakjet,пакйет,ik
pakljen,паклйен,ik
pal,пал,chik-ik-ok
pan,пан,ik-ok
par,пар,ik-ok
parashut,парашут,ik
parnjik,парнйик,ok
parovjik,паровйик,ok
parovoz,паровоз,ik
paroxod,пароход,ik
pas,пас,ik-ok
pass,пасс,ik
pastux,пастух,ok
patjer,патйер,ik
patron,патрон,chik
patronjim,патронйим,ik
patsan,патсан,chik
pauk,паук,ok
pavjiljjon,павйилййон,chik
pax,пах,ok
paz,паз,ik
pazh,паж,ik
pil,пил,ok
pizh,пиж,ik
pjatak,пятак,ok
pjejs,пйейс,ik
pjejzazh,пйейзаж,ik
pjek,пйек,ok
pjerjekrjest,пйерйекрйест,ok
pjerjeljot,пйерйелйот,ok
pjerjets,пйерйетс,chik-ik
pjerjod,пйерйод,ok
pjers,пйерс,ik
pjersh,пйерш,ik
pjervachj,пйервачй,ok
pjervoproxodjets,пйервопроходйетс,ik
pjeskarj,пйескарй,ik
pjest,пйест,ik-ok
pjetux,пйетух,ok
pjidzhak,пйиджак,ok
pjik,пйик,ok
pjionjer,пйионйер,chik
pjirog,пйирог,ok
pjisjets,пйисйетс,ik
pjistoljet,пйистолйет,ik
pjiston,пйистон,chik
pjos,пйос,ok
plakat,плакат,ik
plan,план,chik-ok
plashshj,плашшй,ik
plast,пласт,ik-ok
plat,плат,ik-ok
plaun,плаун,ok
plav,плав,ik
plavnjik,плавнйик,ok
plavunjets,плавунйетс,chik-ik
pljazh,пляж,ik
pljen,плйен,ok
pljus,плюс,ik-ok
pljushshj,плюшшй,ik
plod,плод,ik
plot,плот,ik
plug,плуг,ok
pochjin,почйин,ok
pod,под,ok
podchjal,подчял,ok
poddon,поддон,ok
podljeshshj,подлйешшй,ik
podljot,подлйот,ok
podnos,поднос,ik-ok
podpjil,подпйил,ok
podpol,подпол,ok
podrjez,подрйез,ok
podrost,подрост,ok
podval,подвал,chik-ok
podvjes,подвйес,ok
podvorotnjik,подворотнйик,ok
poet,поет,ik
pogon,погон,chik
pogrjeb,погрйеб,ok
pojas,пояс,ok
poklon,поклон,chik-ik
pol,пол,ik-ok
poljak,поляк,ok
polk,полк,ok
polon,полон,ik
polovjik,половйик,ok
poloz,полоз,ok
poluostrov,полуостров,ok
poluval,полувал,ik
polzun,ползун,ok
pomjidor,помйидор,chik
pomjin,помйин,ok
pompon,помпон,chik
pop,поп,ik-ok
poprigun,попригун,chik
popugaj,попугай,chik
porox,порох,ok
port,порт,ik-ok
portrjet,портрйет,ik
